ID_event,NamaEvent,TanggalEvent,TempatEvent,HostEvent
2001,Kuliah Tamu 1,2017-12-08,Aula ABC,ITOBI
2002,Kuliah Tamu 2,2017-12-08,Aula DEF,ITOBI
2003,Kuliah Tamu 3,2017-12-11,Aula GHI,ITOBI
2004,Kuliah Tamu 4,2017-12-12,Aula JKL,ITOBI
2005,Kuliah Tamu 5,2017-12-13,Aula MNO,ITOBI
2006,Kuliah Tamu 6,2017-12-15,Aula PQR,ITOBI
2007,Kuliah Tamu 7,2017-12-20,Aula STU,ITOBI
2008,Kuliah Tamu 8,2017-12-21,Aula VWX,ITOBI
2009,Kuliah Tamu 9,2017-12-22,Aula YZ,ITOBI
2010,Kuliah Tamu 10,2018-01-08,Aula ABC,ITOBI
2011,Seminar 1,2018-01-08,Aula DEF,HMMOI
2012,Seminar Tobianto,2018-01-10,Aula GHI,ITOBI
2013,Seminar 2,2018-01-22,Aula GHI,HMMOI
2014,Seminar 3,2018-01-29,Aula JKL,HMMA
2015,Seminar 4,2018-02-05,Aula MNO,HMTOBI
2016,Seminar IT,2018-02-12,Aula PQR,HMBEO
2017,Seminar TI,2018-02-19,Aula STU,HMAB
2018,Seminar STI,2018-02-26,Aula VWX,HMCD
2019,Seminar IF,2018-03-12,Aula YZ,HMEF
2020,Seminar 5,2018-03-26,Aula DEF,HMGH
2021,Wisuda April 2018,2018-04-14,Shabuga,ITOBI
2022,Wisuda Juli 2018,2018-07-21,Shabuga,ITOBI
2023,Wisuda Oktober 2018,2018-10-20,Shabuga,ITOBI
2024,Syukuran Wisuda HMOI,2018-05-06,Ruang A,HMOI
2025,Syukuran Wisuda HMMA,2018-05-06,Ruang B,HMMA
2026,Syukuran Wisuda HMTOBI,2018-05-13,Ruang C,HMTOBI
2027,Syukuran Wisuda HMBEO,2018-05-20,Ruang D,HMBEO
2028,Syukuran Wisuda HMOJ,2018-08-05,Ruang E,HMOJ
2029,Syukuran Wisuda HMAB,2018-08-12,Ruang A,HMAB
2030,Syukuran Wisuda HMCD,2018-09-02,Ruang B,HMCD
2031,Syukuran Wisuda HMEF,2018-11-04,Ruang C,HMEF
2032,Syukuran Wisuda HMGH,2018-11-11,Ruang D,HMGH
2033,Syukuran Wisuda HMIJ,2018-11-18,Ruang E,HMIJ
2034,Bioskop Kampus 1,2018-02-14,Ruang A,LLFEM
2035,Bioskop Kampus 2,2018-08-10,Ruang B,LLFEM
2036,Bioskop Kampus 3,2018-10-30,Ruang C,LLFEM
2037,Bioskop Kampus 4,2018-12-01,Ruang D,LLFEM
