ID_event,NamaEvent,TanggalEvent,TempatEvent,HostEvent
1001,AB Kaizen Goes to Campus,2017-12-12,CRCS,Dit Log
1002,Nano Kids and Teens,2017-12-13,CAS,NANOs
1003,SBM Talks,2017-12-15,"Auditorium Gedung Freeport, Labtek XIV SBM ITB",KMM ITB
1004,Open House Pendidikan ITB day 1,2017-12-16,Aula Timur ITB,ITB
1005,Open House Pendidikan ITB day 2,2017-12-17,Aula Barat ITB,ITB
1006,LokaKARYA x Monologue,2017-12-13,LFM ITB,LFM ITB
1007,Pameran Karya Mahasiswa FTMD,2017-12-14,Aula Barat ITB,FTMD ITB
1008,P2MS Conference,2017-12-14,CRCS ,ITB
1009,FTTM Conference,2017-12-15,CRCS,FTTM ITB
1010,Penutupan Mentoring YPM Salman,2017-12-17,SKB Taman Ganesha,YPM Salman
1011,Pelatihan Puslitbang Transportasi Darat,2017-12-18,CRCS,FTMD ITB
1012,Pembinaan Terpusat UPT Asrama,2017-12-21,Aula Barat ITB,UPT Asrama
1013,Grand Seminar IECOM,2018-01-08,Aula Timur ITB,MTI ITB
1014,Oikumene Natal & Tahun Baru,2018-01-13,CRCS,Oikumene
1015,Seminar Womwn In Logistic,2018-01-13,Auditorium CC Timur,FTI ITB
1016,Pameran Poster dan Produk,2018-01-18,Aula Barat ITB,LPPM
1017,AGRIFASCO,2018-01-19,Lapangan CC Barat,HMRP
1018,AGRIFASCO,2018-01-20,Lapangan CC Barat,HMRP
1019,AGRIFASCO,2018-01-21,Lapangan CC Barat,HMRP
1020,Olimpiade OKTAN,2018-01-20,Lapangan Parkir Sipil,AMISCA
1021,Olimpiade OKTAN,2018-01-21,Aula Barat ITB,AMISCA
1022,Forum 2 Young Leaders for Indonesia,2018-01-27,Galeri 1 CC Timur,LK ITB
1023,Forum 2 Young Leaders for Indonesia,2018-01-28,Galeri 1 CC Timur,LK ITB
1024,ITB Civil Engineering Expo,2018-01-27,Aula Barat ITB,HMS ITB
1025,ITB Civil Engineering Expo,2018-01-28,Aula Barat ITB,HMS ITB
1026,Petro Care,2018-01-29,Lapangan CC Timur,PATRA
1027,Petro Care,2018-01-30,Lapangan CC Timur,PATRA
1028,Aerocreation,2018-02-02,Lapangan CC Timur,KMPN ITB
1029,Aerocreation,2018-02-03,Lapangan CC Timur,KMPN ITB
1030,International Mining Talkshow,2018-02-07,Auditorium CC Timur,HMT ITB
1031,Arkavidia,2018-02-09,Auditorium CC Timur,HMIF ITB
1032,Aerocreation,2018-02-10,Lapangan CC Barat,KMPN ITB
1033,Arkavidia,2018-02-10,Aula Timur ITB,HMIF ITB
1034,Arkavidia,2018-02-11,Aula Timur ITB,HMIF ITB
1035,ITB Cooperative Day,2018-02-17,Aula Timur ITB,KOKESMA
1036,KU Studium Generale,2018-02-17,Aula Barat ITB,Dit Humas
1037,ITB Cooperative Day,2018-02-18,Aula Timur ITB,KOKESMA
1038,Pameran Budaya Aceh,2018-02-22,Lapangan CC Timur,UKA
1039,Pameran Budaya Aceh,2018-02-23,Lapangan CC Timur,UKA
1040,IPConvex,2018-02-24,Aula Timur ITB,PATRA
1041,Workshop Polusi Udara,2018-02-27,Aula Barat ITB,FTSL
1042,IChEC Himatek,2018-03-03,Aula Timur ITB,Himatek
1043,KU Studium Generale,2018-03-03,Aula Barat ITB,Dit Humas
1044,KU Studium Generale,2018-03-07,Aula Barat ITB,Dit Humas
1045,Homecoming PLN ITB,2018-03-10,Aula Timur ITB,STEI
1046,Event International INNOVA,2018-03-12,Aula Timur ITB,LPIK
1047,Event International INNOVA,2018-03-13,Aula Timur ITB,LPIK
1048,7th ITB International Geothermal Workshop,2018-03-20,Aula Timur ITB,FTTM ITB
1049,7th ITB International Geothermal Workshop,2018-03-21,Aula Timur ITB,FTTM ITB
1050,Geothermal Jam,2018-03-22,Auditorium CC Timur,FTTM ITB
,,,,
,,,,
,,,,
,,,,
